Sample,Community,Group,Treatment,Time,Replicate,NMR_file,pH,,,,,,,,
NS4.pHMO.12.3,Child_4,Nonconverter,pHMOs,12,3,SR_20201215_ex24_p1.cnx,,,,,,,,,
NS4.pHMO.24.1,Child_4,Nonconverter,pHMOs,24,1,SR_20201216_ex7_p1.cnx,,,,,,,,,
NS4.pHMO.24.2,Child_4,Nonconverter,pHMOs,24,2,SR_20201216_ex8_p1.cnx,,,,,,,,,
NS4.pHMO.24.3,Child_4,Nonconverter,pHMOs,24,3,SR_20201216_ex9_p1.cnx,,,,,,,,,
NS4.pHMO.36.1,Child_4,Nonconverter,pHMOs,36,1,SR_20201216_ex16_p1.cnx,,,,,,,,,
NS4.pHMO.36.2,Child_4,Nonconverter,pHMOs,36,2,SR_20201216_ex17_p1.cnx,,,,,,,,,
NS4.pHMO.36.3,Child_4,Nonconverter,pHMOs,36,3,SR_20201216_ex18_p1.cnx,,,,,,,,,
NS4.pHMO.48.1,Child_4,Nonconverter,pHMOs,48,1,SR_20201216_ex25_p1.cnx,,,,,,,,,
NS4.pHMO.48.2,Child_4,Nonconverter,pHMOs,48,2,SR_20201216_ex26_p1.cnx,,,,,,,,,
NS4.pHMO.48.3,Child_4,Nonconverter,pHMOs,48,3,SR_20201216_ex27_p1.cnx,,,,,,,,,
NS4.pHMO.60.1,Child_4,Nonconverter,pHMOs,60,1,SR_20201217_ex1007_p1.cnx,,,,,,,,,
NS4.pHMO.60.2,Child_4,Nonconverter,pHMOs,60,2,SR_20201217_ex8_p1.cnx,,,,,,,,,
NS4.pHMO.60.3,Child_4,Nonconverter,pHMOs,60,3,SR_20201217_ex9_p1.cnx,,,,,,,,,
NS6.2FL.0.1,Child_6,Nonconverter,2FL,0,1,20210125_ex4_p1.cnx,,,,,,,,,p1.cnx
NS6.2FL.0.2,Child_6,Nonconverter,2FL,0,2,20210125_ex1005_p1.cnx,,,,,,,,,p1.cnx
NS6.2FL.0.3,Child_6,Nonconverter,2FL,0,3,20210125_ex6_p1.cnx,,,,,,,,,p1.cnx
NS6.2FL.12.1,Child_6,Nonconverter,2FL,12,1,20210125_ex13_p1.cnx,,,,,,,,,p1.cnx
NS6.2FL.12.2,Child_6,Nonconverter,2FL,12,2,20210125_ex14_p1.cnx,,,,,,,,,p1.cnx
NS6.2FL.12.3,Child_6,Nonconverter,2FL,12,3,20210125_ex15_p1.cnx,,,,,,,,,p1.cnx
NS6.2FL.24.1,Child_6,Nonconverter,2FL,24,1,20210125_ex22_p1.cnx,,,,,,,,,p1.cnx
